Term 1,Term 2,frequency of bigram,frequency of context (Term 1), conditional probability of bigram
sólo,estaba,1,6,0.16666666666666666
estaba,anotando,1,2,0.5
anotando,lo,1,1,1.0
que,dijo,1,97,0.010309278350515464
dijo,el,1,3,0.3333333333333333
profe,ahorita,1,6,0.16666666666666666
Ok,según,1,5,0.2
según,lo,1,1,1.0
que,entendí,1,97,0.010309278350515464
entendí,pues,1,1,1.0
pues,mañana,1,2,0.5
a,revisar,1,72,0.013888888888888888
revisar,nada,1,1,1.0
nada,solo,1,2,0.5
solo,para,1,5,0.2
para,aquellos,1,28,0.03571428571428571
aquellos,que,1,1,1.0
profe,les,1,6,0.16666666666666666
les,hizo,1,6,0.16666666666666666
hizo,alguna,1,1,1.0
alguna,"observación,",1,2,0.5
"observación,",ahorita,1,1,1.0
ahorita,lo,1,4,0.25
que,queda,1,97,0.010309278350515464
